ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
11176,150000,1,2,2,29,0,0,0,0,0,0
12826,320000,1,1,1,58,-1,2,-1,0,0,-1
5783,360000,2,1,1,31,-1,-1,-1,-1,-1,-2
21756,50000,2,1,2,24,1,2,2,0,0,2
17077,1.00E+05,2,2,2,24,3,2,2,2,2,2
2701,10000,1,3,2,23,0,0,0,0,0,0
8292,50000,2,2,2,28,0,0,0,0,0,0
22681,360000,2,2,2,47,-2,-2,-2,-2,-2,-2
22244,3.00E+05,2,1,2,31,-1,-1,-1,-1,-1,-1
15437,20000,1,2,2,23,1,-2,-2,-2,-1,0
15891,30000,2,1,2,22,2,2,0,0,0,-1
9434,2.00E+05,2,2,2,36,-1,-1,-1,-1,-1,-1
3489,30000,2,1,1,30,0,0,0,0,0,2
13602,30000,2,3,2,27,-1,-1,0,0,0,-1
17057,30000,2,2,1,22,0,0,0,0,0,0
17967,20000,1,2,1,31,1,2,2,2,2,2
22344,210000,2,2,2,26,0,0,0,0,0,0
14495,150000,1,1,2,40,0,0,0,0,0,0
3505,270000,1,1,1,50,-1,-1,-1,-1,-1,-1
22905,150000,2,2,2,30,1,-2,-2,-2,-1,2
18490,50000,2,2,2,26,2,0,0,0,-1,-1
13614,340000,1,1,2,25,-1,0,0,0,0,0
14407,30000,2,3,1,55,0,0,0,0,0,0
19446,50000,2,1,2,24,0,0,0,0,0,0
6248,210000,2,1,2,30,1,-1,-1,-1,-1,-1
13076,50000,1,1,2,29,-1,-1,0,0,0,0
16953,50000,1,2,1,61,2,-1,-1,-1,-1,-1
15574,260000,1,3,1,63,0,0,0,0,0,2
4466,20000,1,2,2,36,2,0,0,-1,-1,-1
18344,30000,2,2,2,22,0,0,0,0,0,-1
1387,360000,1,1,2,36,-1,-1,-1,0,0,0
20548,50000,1,1,2,27,-1,0,0,0,-1,-1
3421,420000,2,2,2,29,0,0,0,0,0,-2
11372,210000,1,3,1,33,0,0,0,0,0,0
5032,170000,1,2,1,49,2,2,2,2,2,2
2150,230000,2,1,2,29,-1,-1,-1,-1,-1,-1
1823,50000,2,3,1,61,0,0,-2,-2,-1,0
14798,320000,2,2,1,35,-1,0,0,0,0,0
2200,20000,1,2,1,37,0,0,-1,-1,-2,-1
7254,50000,1,3,2,26,1,2,3,2,0,0
17808,1.00E+05,1,2,2,23,-1,-1,-1,-1,-1,-1
2119,20000,2,3,2,39,0,0,2,2,3,2
19794,60000,2,3,1,42,0,0,2,2,2,0
3876,3.00E+05,2,2,1,43,-1,-1,-2,-2,-2,-2
16227,80000,2,2,1,34,2,2,2,2,2,0
19612,230000,2,2,2,30,-2,-1,0,0,0,0
12037,2.00E+05,2,1,2,44,-2,-2,-2,-2,-2,-2
22727,90000,2,1,2,31,1,-2,-2,-2,-2,-2
19833,150000,2,2,2,38,0,0,0,0,0,0
15989,70000,2,1,2,23,0,0,0,0,0,0
16103,2.00E+05,2,5,1,33,0,0,0,0,0,0
9341,30000,2,2,1,45,2,2,2,0,0,0
2775,4.00E+05,2,2,1,30,0,0,-1,-1,-1,-1
16849,20000,1,3,2,40,0,0,0,0,0,0
1530,360000,2,2,1,50,-1,-1,-1,-1,-1,-1
2805,120000,2,2,1,30,-1,-1,-1,-1,0,-1
4878,50000,1,1,2,49,0,0,0,0,0,0
15747,30000,2,2,1,23,1,2,0,0,0,-1
9053,280000,2,2,1,50,-1,-1,-1,-1,-1,-1
13717,1.00E+05,2,2,1,38,1,2,0,0,0,0
16669,60000,1,2,1,44,0,0,0,0,0,0
22405,150000,2,1,2,26,0,0,0,0,0,0
4050,160000,1,2,1,40,-1,-1,-1,-2,-2,-2
16333,110000,2,2,1,35,0,0,0,0,0,2
18193,70000,1,2,2,39,2,2,2,2,2,2
1132,2.00E+05,2,2,2,34,1,-1,-1,-1,-1,-1
20227,2.00E+05,2,6,2,51,2,0,0,0,0,0
8002,140000,2,2,1,26,0,0,0,0,0,0
14653,30000,1,2,2,25,2,2,2,2,2,2
22750,210000,2,3,1,41,-2,-2,-2,-2,-2,-2
21438,360000,2,2,2,25,0,0,0,0,0,0
8044,170000,1,3,2,36,-1,-1,-1,0,0,-1
64,50000,2,2,1,46,0,0,0,-2,-2,-2
18828,290000,2,1,2,27,0,0,0,0,0,0
14904,220000,2,3,1,32,-1,0,0,0,0,0
6505,2.00E+05,1,2,2,32,-1,-1,-1,-1,-1,-1
8862,220000,1,1,2,35,-1,0,0,-2,-2,-2
22858,490000,2,2,1,31,0,0,0,0,0,0
21104,80000,1,2,1,45,0,0,0,0,0,0
6205,50000,1,1,1,56,-1,0,0,0,0,0
3014,180000,2,1,2,28,-2,-2,-2,-2,-2,-2
16477,50000,2,3,1,69,0,0,0,0,0,0
17588,70000,2,2,2,38,1,2,2,2,2,2
15666,60000,2,3,1,42,0,0,0,0,-2,-1
19399,160000,2,2,2,30,-2,-2,-2,-2,-2,-2
3274,50000,1,2,2,35,0,0,0,0,-1,-1
13899,80000,2,1,2,23,0,0,0,0,0,0
6062,150000,2,2,1,36,2,2,2,2,2,2
20616,170000,1,2,2,30,-2,-1,0,0,0,0
10121,150000,2,3,1,48,2,2,2,2,2,2
13586,180000,2,1,2,28,-1,-1,-1,-1,-1,-1
6652,110000,1,2,2,29,0,0,0,0,0,0
2190,50000,2,2,2,22,0,0,0,0,0,0
21812,20000,2,2,2,24,3,2,3,2,3,2
13875,180000,2,2,1,41,0,0,0,0,0,0
5856,230000,2,1,1,30,-1,-1,-1,-1,-1,-1
13787,280000,2,1,2,35,0,0,0,0,0,0
12936,2.00E+05,2,1,1,35,2,0,0,0,0,0
17830,50000,1,2,2,25,0,0,0,0,0,0
8546,50000,2,2,2,23,2,0,0,0,0,0
1151,210000,2,2,1,36,-1,-1,-1,0,-1,-1
2210,50000,2,2,1,41,0,0,0,0,0,0
8853,210000,2,2,1,36,-1,0,0,0,0,0
21781,50000,2,2,2,25,0,0,0,0,-2,-2
12712,250000,2,1,1,35,0,0,0,0,0,0
1698,180000,2,3,1,45,-1,-1,-1,-1,-1,-1
8958,480000,2,2,1,37,-1,-1,-1,-1,-1,-1
9971,30000,1,2,2,30,0,0,0,0,0,0
4068,50000,1,3,2,24,-1,0,0,-1,-1,-2
23929,20000,1,2,2,22,0,0,0,0,0,0
16896,50000,1,2,1,45,1,2,0,0,0,0
11731,2.00E+05,2,1,2,47,-2,-1,-1,-1,0,-1
5850,280000,2,3,1,61,0,0,0,0,0,0
23063,150000,2,1,1,32,0,0,0,0,0,0
17199,160000,2,2,2,29,-1,-1,-1,-1,-1,-1
6358,50000,2,1,1,40,-1,2,-1,-1,2,2
5597,4.00E+05,2,1,2,48,-1,-1,-1,0,0,-1
21005,80000,1,2,2,32,2,0,0,0,0,2
7015,150000,2,2,2,41,-1,-1,-1,0,-1,-1
9870,20000,1,3,2,28,-1,0,0,0,0,0
18742,140000,2,4,2,26,0,0,-2,-2,-1,0
8548,260000,2,3,1,36,0,0,0,0,0,0
11804,90000,2,2,1,30,2,2,0,0,0,0
6785,1.00E+05,2,1,2,24,-1,3,2,-1,-1,-1
9166,260000,1,2,1,34,0,0,0,0,0,0
2408,420000,1,2,2,31,2,2,0,0,2,0
19824,60000,2,2,1,32,0,0,0,0,0,0
78,3.00E+05,2,1,1,45,-1,-1,-1,-1,-1,-1
20233,280000,2,1,1,51,-2,-1,-1,-2,-1,-1
20062,390000,2,4,1,40,0,0,0,0,0,0
23014,440000,2,1,1,41,-1,-1,-1,0,0,0
3617,10000,1,1,2,29,0,0,0,0,0,0
10948,80000,2,1,2,23,0,0,0,0,0,0
2424,20000,2,2,1,47,0,0,0,0,0,0
4037,150000,2,3,1,60,1,-2,-2,-2,-2,-2
17245,50000,2,2,1,36,2,2,4,3,2,2
11536,320000,1,1,1,45,-2,-2,-2,-2,-2,-2
710,20000,1,2,2,49,0,0,0,0,0,0
16254,260000,2,2,1,38,0,0,0,0,0,0
6650,320000,2,1,2,30,0,0,-1,-1,-1,-1
20902,130000,1,2,2,30,0,0,0,0,-1,0
15735,20000,2,2,1,38,0,0,0,0,0,0
933,160000,2,2,2,29,2,2,-1,-1,-1,-1
652,240000,2,2,2,26,0,0,-1,-1,-1,-1
10700,140000,1,2,1,73,0,0,0,0,0,0
18531,220000,2,2,2,26,-1,-1,-1,-1,-1,-1
5375,30000,2,1,2,30,0,0,0,0,0,0
14513,360000,1,2,2,30,-2,-1,2,2,-2,-2
8604,90000,2,2,1,47,0,0,0,0,0,0
24052,110000,1,3,1,27,0,0,0,0,0,-2
1841,70000,2,2,1,31,0,0,0,0,0,0
23411,140000,2,2,1,42,1,-2,-1,-1,-1,-1
16337,60000,2,2,1,35,0,0,0,0,0,0
15925,60000,2,2,1,31,0,0,2,2,2,2
10503,350000,2,2,2,33,0,0,0,0,0,0
13997,340000,2,1,2,29,0,0,0,0,0,0
4461,270000,2,2,2,45,0,0,0,-1,-1,-1
1135,20000,1,2,2,28,1,2,2,2,0,0
6953,180000,2,2,2,31,0,0,0,0,0,0
14519,20000,1,3,1,42,2,2,2,-2,-2,-2
8000,130000,1,1,2,36,0,0,0,0,-2,-2
15040,210000,1,1,1,38,0,0,0,-2,-2,-2
11910,350000,2,3,1,38,-2,-2,-1,0,0,0
4820,50000,2,1,2,35,0,0,0,0,0,0
23148,160000,2,1,1,36,-2,-2,-2,-2,-2,-1
2527,5.00E+05,2,1,1,33,2,2,-1,-1,-2,-1
10489,2.00E+05,2,4,2,25,0,0,0,0,0,0
15178,50000,2,1,2,23,0,0,0,0,0,2
23846,190000,2,2,1,52,-2,-2,-1,-1,-1,-1
2644,360000,1,1,1,39,1,-2,-2,-2,-1,-1
9388,150000,2,2,1,35,0,0,0,0,2,0
13734,260000,2,1,2,32,-1,-1,-1,-1,-1,0
5320,30000,2,3,1,60,0,0,0,2,0,0
7551,30000,1,2,2,49,0,0,0,0,0,-2
16736,50000,1,2,1,30,0,0,0,0,0,0
12835,40000,1,2,2,26,1,2,2,2,2,2
16238,20000,2,2,2,45,2,0,0,0,0,2
17564,120000,2,1,2,35,-1,-1,-1,-1,0,-1
14365,180000,2,1,1,33,-1,-1,2,-1,-1,2
20014,350000,2,1,1,42,-1,2,-1,-1,-1,-1
2935,50000,1,1,2,24,1,-2,-2,-2,-2,-1
9730,3.00E+05,2,1,2,29,0,-1,-1,-1,0,-1
22956,420000,2,2,1,46,0,0,0,0,0,0
5577,150000,1,2,2,26,-2,-2,-2,-2,-2,-2
20932,560000,1,2,1,36,-2,-2,-2,-2,-2,-2
19012,80000,2,3,2,30,2,0,0,-1,-1,-2
6147,1.00E+05,1,1,2,38,1,2,2,2,2,2
6814,70000,2,1,2,29,0,0,0,0,0,0
12657,70000,1,2,3,34,-2,-2,-1,0,0,0
11214,120000,1,2,2,34,-2,-2,-2,-1,-1,-1
9164,230000,2,1,1,44,1,-1,-1,-1,-1,-2
10072,150000,2,1,2,36,-1,-1,-1,-1,-1,0
11961,150000,2,2,2,42,0,0,0,0,0,0
7247,180000,2,1,2,25,-2,-2,-2,-2,-2,-2
4524,5.00E+05,2,1,1,33,-1,-1,-1,-1,-1,-1
11145,150000,1,1,2,30,-1,-1,-1,0,-1,-1
17342,130000,2,3,1,32,0,0,0,0,0,0
2997,210000,2,2,1,27,2,2,0,0,0,0
20105,170000,2,2,1,29,0,0,0,0,0,0
9785,80000,2,1,2,24,0,0,0,0,0,0
7919,110000,1,1,2,25,0,0,0,0,0,0
1352,280000,2,1,1,39,-1,0,-1,-1,-1,-1
17231,1.00E+05,2,1,1,39,2,2,2,2,2,2
18584,360000,2,3,1,27,0,0,0,0,0,0
22564,230000,2,1,2,30,0,0,0,0,0,0
1193,270000,2,2,2,34,-1,-1,-1,-1,-1,-1
22077,90000,2,2,2,28,0,0,0,0,0,0
2166,360000,2,2,1,38,1,-2,-2,-2,-2,-2
14183,160000,1,2,2,29,0,0,0,0,0,0
13362,230000,1,1,2,27,-1,-1,-1,-1,-1,-1
20178,60000,2,2,1,43,0,0,0,0,0,0
15914,20000,2,2,1,29,0,0,0,-1,-1,-1
14149,20000,1,1,2,23,1,2,0,0,2,0
16061,50000,2,3,1,47,0,0,2,2,2,2
11192,30000,1,1,2,29,1,-2,-1,0,0,2
1809,140000,1,2,2,35,0,0,0,0,0,0
11784,20000,2,5,2,23,0,0,0,0,0,-2
23120,80000,2,5,1,30,-2,-2,-2,-2,-2,-2
16155,80000,2,2,1,38,2,0,0,0,2,0
22996,310000,2,1,2,35,0,0,0,0,0,0
13007,80000,2,1,2,24,-1,-1,-1,-1,-1,-1
1696,250000,1,3,1,47,-1,-1,-1,-1,-1,-1
9052,70000,2,2,2,25,0,0,0,0,0,0
17162,1.00E+05,2,2,2,30,0,0,0,0,0,0
9661,30000,2,3,1,35,2,2,2,2,2,2
17036,110000,2,2,2,24,-1,-1,-1,-1,-1,0
20248,120000,2,3,1,50,0,0,0,-2,-2,-2
15298,320000,2,2,2,42,-1,-1,-1,-1,-1,0
2134,90000,2,1,2,27,0,0,0,0,0,0
3785,30000,1,1,2,32,0,0,2,0,0,0
4211,80000,2,3,1,41,0,0,0,0,0,0
8761,50000,2,2,1,37,0,0,0,0,-1,0
8644,20000,1,2,2,38,0,0,0,0,0,0
15083,110000,1,2,2,32,0,0,0,0,0,0
14414,150000,1,1,2,26,-2,-2,-2,-2,-2,-2
5260,140000,1,1,2,29,0,0,0,0,0,0
621,150000,2,2,1,39,0,0,0,0,0,0
5441,120000,2,2,2,39,0,0,2,0,0,0
611,220000,1,1,2,43,0,0,-1,-1,-1,-1
16284,230000,2,2,1,34,0,0,0,0,0,0
4377,50000,2,3,1,47,1,-2,-2,-2,-2,-2
3221,310000,2,1,2,36,-2,-2,-2,-2,-2,-2
22247,90000,2,2,2,25,0,-1,-1,-1,-1,-1
19473,60000,2,2,2,24,0,0,0,0,0,0
15346,5.00E+05,2,1,1,38,-1,0,-1,0,0,0
17229,240000,2,2,2,30,0,0,0,0,0,0
18783,150000,2,1,2,29,-1,-1,-2,-1,-1,-1
23407,60000,2,2,3,34,1,-1,0,0,-2,-1
22306,4.00E+05,2,2,2,31,0,0,0,0,0,0
2894,70000,2,2,3,24,1,2,0,0,0,0
11672,110000,1,1,1,56,3,2,2,3,2,2
7155,70000,2,3,1,27,2,2,2,2,2,2
23628,360000,2,2,1,41,0,0,0,0,0,0
19107,150000,2,1,2,27,-2,-2,-2,-2,-2,-2
10697,20000,1,1,2,26,0,0,0,0,0,2
20814,50000,1,3,2,39,2,0,0,0,0,-1
16025,1.00E+05,2,3,2,32,0,0,0,0,0,0
20066,30000,2,1,2,43,0,0,0,0,0,0
18975,3.00E+05,2,1,2,28,0,0,0,0,0,0
17922,1.00E+05,1,2,1,29,2,2,2,2,3,3
6548,150000,2,2,1,36,0,0,0,0,-1,-1
23583,3.00E+05,2,1,2,41,-1,-1,-2,-2,-2,-2
10668,150000,1,2,2,45,-1,-1,-2,-1,-1,-1
7304,130000,2,2,2,43,-1,-1,-1,-1,0,-1
21384,450000,1,1,1,53,-1,-1,-1,-1,-1,-1
22071,1.00E+05,2,2,2,23,0,0,0,0,0,0
10621,20000,2,2,2,23,-2,-2,-2,-2,-2,-2
16235,210000,2,1,1,40,1,-2,-2,-1,-1,-1
13011,60000,1,2,2,26,-1,-1,2,0,-1,2
10234,310000,1,2,1,36,0,0,0,0,0,0
23960,20000,1,1,2,24,1,-1,-1,-2,-1,-1
17794,160000,2,2,1,51,2,0,0,0,2,0
3086,80000,1,3,2,33,0,0,0,0,0,0
11091,340000,2,2,2,28,0,0,0,0,0,0
13257,180000,2,2,2,24,0,0,0,0,0,-1
20995,80000,1,2,1,40,0,0,0,0,0,0
20412,50000,1,1,2,26,0,0,0,0,0,0
5821,80000,2,2,1,45,0,0,-2,-2,-2,-2
2779,260000,2,2,1,39,2,0,0,2,0,0
