id,y,xx0,xx1,xx2,xx3,xx4,xx5,xx6,xx7,xx8
185,1,0.304348,0,0.833333,-0.0829694,-0.582418,-0.698113,0.189542,-0.6,0
455,1,0.434783,0.461538,0.694444,-0.0480349,-0.626374,-0.660377,0.163399,-0.6,0
549,2,-0.0869565,-0.538462,-0.0277778,-0.30131,-0.450549,-0.773585,-0.437908,-0.0857143,-0.666667
333,0,0.130435,0.846154,0.916667,0.0131004,-0.582418,-0.660377,0.424837,-0.771429,0.333333
379,1,-0.608696,-0.769231,-0.611111,-0.886463,-0.868132,-0.811321,-0.830065,0.6,-0.833333
265,1,0.304348,0.230769,0.666667,-0.213974,-0.714286,-0.698113,-0.0457516,-0.485714,-0.166667
655,1,0.173913,0.0769231,0.333333,-0.248908,-0.714286,-0.698113,-0.228758,-0.314286,-0.333333
372,2,0.0434783,-0.0769231,-0.111111,-0.275109,-0.472527,-0.886792,-0.359477,-0.2,-0.5
433,1,-0.521739,-0.615385,0.194444,-0.676856,-0.846154,-0.811321,-0.51634,0.0857143,-0.666667
620,0,0.0434783,0.692308,0.555556,-0.423581,-0.846154,-0.698113,0.359477,-0.714286,0.166667
353,3,-0.217391,0,0.0555556,-0.615721,-0.692308,-0.735849,-0.542484,0.0857143,-0.666667
294,3,-0.130435,-0.769231,-0.361111,-0.694323,-0.78022,-0.773585,-0.738562,0.371429,-0.833333
15,2,-0.0869565,0.230769,0.0833333,-0.135371,-0.472527,-0.886792,-0.189542,-0.371429,-0.333333
641,0,-0.217391,0.461538,0.611111,-0.196507,-0.67033,-0.735849,0.0588235,-0.542857,-0.166667
368,1,-0.608696,-0.692308,-0.472222,-0.737991,-0.648352,-0.811321,-0.699346,0.428571,-0.833333
28,1,0.478261,0.615385,0.611111,-0.135371,-0.604396,-0.660377,0.385621,-0.714286,0.333333
250,1,-0.478261,-0.923077,-0.638889,-0.799127,-0.758242,-0.849057,-0.947712,0.828571,-1
449,2,0.217391,0.538462,0.416667,-0.213974,-0.604396,-0.849057,0.202614,-0.657143,0
409,2,-0.434783,-0.0769231,-0.138889,-0.554585,-0.582418,-0.811321,-0.555556,0.0857143,-0.666667
11,3,-0.434783,-0.769231,-0.166667,-0.659389,-0.692308,-0.735849,-0.72549,0.371429,-0.833333
76,0,0.217391,0.538462,0.75,-0.135371,-0.648352,-0.735849,0.0849673,-0.542857,-0.166667
75,3,-0.304348,-0.307692,0.361111,-0.624454,-0.692308,-0.660377,-0.490196,0.0285714,-0.666667
385,0,-0.347826,-0.153846,-0.138889,-0.641921,-0.802198,-0.773585,-0.607843,0.257143,-0.666667
388,3,-0.26087,0.0769231,0.25,-0.641921,-0.758242,-0.735849,-0.477124,0.0285714,-0.666667
398,2,-0.304348,-0.384615,-0.0277778,-0.49345,-0.582418,-0.886792,-0.464052,-0.0285714,-0.666667
562,0,-0.347826,-0.538462,0.333333,-0.213974,-0.516484,-0.773585,-0.267974,-0.2,-0.5
397,2,0.521739,0.846154,0.833333,-0.362445,-0.912088,-0.886792,0.882353,-1,0.833333
170,3,0.0869565,-0.615385,-0.166667,-0.816594,-0.89011,-0.773585,-0.764706,0.542857,-0.833333
7,2,0.0434783,-0.230769,-0.0833333,-0.39738,-0.604396,-0.849057,-0.464052,-0.0857143,-0.666667
315,2,-0.26087,-0.307692,-0.361111,-0.80786,-0.824176,-0.811321,-0.477124,0.0857143,-0.666667
201,3,-0.130435,0.0769231,0.25,-0.484716,-0.582418,-0.660377,-0.424837,0.0285714,-0.5
592,0,-0.695652,-0.769231,-0.194444,-0.799127,-0.802198,-0.811321,-0.79085,0.542857,-0.833333
365,0,-0.391304,-0.0769231,0.0277778,-0.572052,-0.736264,-0.811321,-0.45098,0.0285714,-0.666667
627,2,-0.565217,-0.153846,-0.166667,-0.458515,-0.516484,-0.886792,-0.594771,0.142857,-0.833333
489,0,-0.608696,-0.538462,0.277778,-0.68559,-0.846154,-0.811321,-0.464052,0.0857143,-0.666667
251,3,-0.0434783,-0.615385,-0.277778,-0.80786,-0.89011,-0.773585,-0.72549,0.485714,-0.833333
105,2,0.26087,-0.0769231,0.194444,-0.179039,-0.604396,-0.886792,0.0718954,-0.6,-0.166667
631,1,-0.434783,-0.461538,-0.361111,-0.729258,-0.802198,-0.886792,-0.72549,0.371429,-0.833333
375,3,-0.391304,-0.769231,-0.638889,-0.886463,-0.758242,-0.924528,-0.921569,0.771429,-1
403,0,0.217391,0.461538,0.805556,-0.49345,-0.868132,-0.698113,0.30719,-0.714286,0.166667
518,1,0.478261,0.615385,0.888889,0.0829694,-0.538462,-0.622642,0.385621,-0.714286,0.333333
104,3,-0.173913,-0.615385,-0.444444,-0.772926,-0.67033,-0.886792,-0.973856,0.828571,-1
319,3,-0.304348,-0.692308,-0.694444,-0.938865,-0.846154,-0.886792,-0.895425,0.714286,-1
160,0,-0.217391,-0.0769231,-0.0277778,-0.563319,-0.78022,-0.849057,-0.503268,0.0285714,-0.666667
249,0,0.304348,0.692308,0.75,-0.0655022,-0.604396,-0.660377,0.30719,-0.714286,0.166667
135,0,0.26087,0.615385,0.666667,-0.484716,-0.868132,-0.698113,0.320261,-0.714286,0.166667
77,1,-0.217391,-0.538462,0.194444,-0.423581,-0.714286,-0.773585,-0.215686,-0.314286,-0.333333
303,2,-0.0869565,-0.692308,-0.111111,-0.222707,-0.450549,-0.849057,-0.398693,-0.142857,-0.666667
472,0,0.347826,0.692308,0.916667,0.100437,-0.56044,-0.622642,0.385621,-0.771429,0.166667
14,3,-0.304348,-0.307692,0.25,-0.650655,-0.758242,-0.698113,-0.477124,0.0285714,-0.666667
228,3,-0.0869565,-0.846154,-0.277778,-0.624454,-0.67033,-0.735849,-0.751634,0.371429,-0.833333
420,1,-0.130435,-0.923077,-0.111111,-0.650655,-0.802198,-0.849057,-0.72549,0.371429,-0.833333
568,1,-0.217391,-0.461538,0.194444,-0.458515,-0.714286,-0.773585,-0.372549,-0.142857,-0.5
181,1,0.26087,0.615385,0.833333,0.0218341,-0.538462,-0.660377,0.24183,-0.657143,0.166667
